 Variables , 1976 Jan , 1976 Feb , 1976 Mar , 1976 Apr , 1976 May , 1976 Jun , 1976 Jul , 1976 Aug , 1976 Sep , 1976 Oct , 1976 Nov , 1976 Dec , 1977 Jan , 1977 Feb , 1977 Mar , 1977 Apr , 1977 May , 1977 Jun , 1977 Jul , 1977 Aug , 1977 Sep , 1977 Oct , 1977 Nov , 1977 Dec , 1978 Jan , 1978 Feb , 1978 Mar , 1978 Apr , 1978 May , 1978 Jun , 1978 Jul , 1978 Aug , 1978 Sep , 1978 Oct , 1978 Nov , 1978 Dec , 1979 Jan , 1979 Feb , 1979 Mar , 1979 Apr , 1979 May , 1979 Jun , 1979 Jul , 1979 Aug , 1979 Sep , 1979 Oct , 1979 Nov , 1979 Dec , 1980 Jan , 1980 Feb , 1980 Mar , 1980 Apr , 1980 May , 1980 Jun , 1980 Jul , 1980 Aug , 1980 Sep , 1980 Oct , 1980 Nov , 1980 Dec , 1981 Jan , 1981 Feb , 1981 Mar , 1981 Apr , 1981 May , 1981 Jun , 1981 Jul , 1981 Aug , 1981 Sep , 1981 Oct , 1981 Nov , 1981 Dec , 1982 Jan , 1982 Feb , 1982 Mar , 1982 Apr , 1982 May , 1982 Jun , 1982 Jul , 1982 Aug , 1982 Sep , 1982 Oct , 1982 Nov , 1982 Dec , 1983 Jan , 1983 Feb , 1983 Mar , 1983 Apr , 1983 May , 1983 Jun , 1983 Jul , 1983 Aug , 1983 Sep , 1983 Oct , 1983 Nov , 1983 Dec , 1984 Jan , 1984 Feb , 1984 Mar , 1984 Apr , 1984 May , 1984 Jun , 1984 Jul , 1984 Aug , 1984 Sep , 1984 Oct , 1984 Nov , 1984 Dec , 1985 Jan , 1985 Feb , 1985 Mar , 1985 Apr , 1985 May , 1985 Jun , 1985 Jul , 1985 Aug , 1985 Sep , 1985 Oct , 1985 Nov , 1985 Dec , 1986 Jan , 1986 Feb , 1986 Mar , 1986 Apr , 1986 May , 1986 Jun , 1986 Jul , 1986 Aug , 1986 Sep , 1986 Oct , 1986 Nov , 1986 Dec , 1987 Jan , 1987 Feb , 1987 Mar , 1987 Apr , 1987 May , 1987 Jun , 1987 Jul , 1987 Aug , 1987 Sep , 1987 Oct , 1987 Nov , 1987 Dec , 1988 Jan , 1988 Feb , 1988 Mar , 1988 Apr , 1988 May , 1988 Jun , 1988 Jul , 1988 Aug , 1988 Sep , 1988 Oct , 1988 Nov , 1988 Dec , 1989 Jan , 1989 Feb , 1989 Mar , 1989 Apr , 1989 May , 1989 Jun , 1989 Jul , 1989 Aug , 1989 Sep , 1989 Oct , 1989 Nov , 1989 Dec , 1990 Jan , 1990 Feb , 1990 Mar , 1990 Apr , 1990 May , 1990 Jun , 1990 Jul , 1990 Aug , 1990 Sep , 1990 Oct , 1990 Nov , 1990 Dec , 1991 Jan , 1991 Feb , 1991 Mar , 1991 Apr , 1991 May , 1991 Jun , 1991 Jul , 1991 Aug , 1991 Sep , 1991 Oct , 1991 Nov , 1991 Dec , 1992 Jan , 1992 Feb , 1992 Mar , 1992 Apr , 1992 May , 1992 Jun , 1992 Jul , 1992 Aug , 1992 Sep , 1992 Oct , 1992 Nov , 1992 Dec , 1993 Jan , 1993 Feb , 1993 Mar , 1993 Apr , 1993 May , 1993 Jun , 1993 Jul , 1993 Aug , 1993 Sep , 1993 Oct , 1993 Nov , 1993 Dec , 1994 Jan , 1994 Feb , 1994 Mar , 1994 Apr , 1994 May , 1994 Jun , 1994 Jul , 1994 Aug , 1994 Sep , 1994 Oct , 1994 Nov , 1994 Dec , 1995 Jan , 1995 Feb , 1995 Mar , 1995 Apr , 1995 May , 1995 Jun , 1995 Jul , 1995 Aug , 1995 Sep , 1995 Oct , 1995 Nov , 1995 Dec , 1996 Jan , 1996 Feb , 1996 Mar , 1996 Apr , 1996 May , 1996 Jun , 1996 Jul , 1996 Aug , 1996 Sep , 1996 Oct , 1996 Nov , 1996 Dec , 1997 Jan , 1997 Feb , 1997 Mar , 1997 Apr , 1997 May , 1997 Jun , 1997 Jul , 1997 Aug , 1997 Sep , 1997 Oct , 1997 Nov , 1997 Dec , 1998 Jan , 1998 Feb , 1998 Mar , 1998 Apr , 1998 May , 1998 Jun , 1998 Jul , 1998 Aug , 1998 Sep , 1998 Oct , 1998 Nov , 1998 Dec , 1999 Jan , 1999 Feb , 1999 Mar , 1999 Apr , 1999 May , 1999 Jun , 1999 Jul , 1999 Aug , 1999 Sep , 1999 Oct , 1999 Nov , 1999 Dec , 2000 Jan , 2000 Feb , 2000 Mar , 2000 Apr , 2000 May , 2000 Jun , 2000 Jul , 2000 Aug , 2000 Sep , 2000 Oct , 2000 Nov , 2000 Dec , 2001 Jan , 2001 Feb , 2001 Mar , 2001 Apr , 2001 May , 2001 Jun , 2001 Jul , 2001 Aug , 2001 Sep , 2001 Oct , 2001 Nov , 2001 Dec , 2002 Jan , 2002 Feb , 2002 Mar , 2002 Apr , 2002 May , 2002 Jun , 2002 Jul , 2002 Aug , 2002 Sep , 2002 Oct , 2002 Nov , 2002 Dec , 2003 Jan , 2003 Feb , 2003 Mar , 2003 Apr , 2003 May , 2003 Jun , 2003 Jul , 2003 Aug , 2003 Sep , 2003 Oct , 2003 Nov , 2003 Dec , 2004 Jan , 2004 Feb , 2004 Mar , 2004 Apr , 2004 May , 2004 Jun , 2004 Jul , 2004 Aug , 2004 Sep , 2004 Oct , 2004 Nov , 2004 Dec , 2005 Jan , 2005 Feb , 2005 Mar , 2005 Apr , 2005 May , 2005 Jun , 2005 Jul , 2005 Aug , 2005 Sep , 2005 Oct , 2005 Nov , 2005 Dec , 2006 Jan , 2006 Feb , 2006 Mar , 2006 Apr , 2006 May , 2006 Jun , 2006 Jul , 2006 Aug , 2006 Sep , 2006 Oct , 2006 Nov , 2006 Dec , 2007 Jan , 2007 Feb , 2007 Mar , 2007 Apr , 2007 May , 2007 Jun , 2007 Jul , 2007 Aug , 2007 Sep , 2007 Oct , 2007 Nov , 2007 Dec , 2008 Jan , 2008 Feb , 2008 Mar , 2008 Apr , 2008 May , 2008 Jun , 2008 Jul , 2008 Aug , 2008 Sep , 2008 Oct , 2008 Nov , 2008 Dec , 2009 Jan , 2009 Feb , 2009 Mar , 2009 Apr , 2009 May , 2009 Jun , 2009 Jul , 2009 Aug , 2009 Sep , 2009 Oct , 2009 Nov , 2009 Dec , 2010 Jan , 2010 Feb , 2010 Mar , 2010 Apr , 2010 May , 2010 Jun , 2010 Jul , 2010 Aug , 2010 Sep , 2010 Oct , 2010 Nov , 2010 Dec , 2011 Jan , 2011 Feb , 2011 Mar , 2011 Apr , 2011 May , 2011 Jun , 2011 Jul , 2011 Aug , 2011 Sep , 2011 Oct , 2011 Nov , 2011 Dec , 2012 Jan , 2012 Feb , 2012 Mar , 2012 Apr , 2012 May , 2012 Jun , 2012 Jul , 2012 Aug , 2012 Sep , 2012 Oct , 2012 Nov , 2012 Dec , 2013 Jan , 2013 Feb , 2013 Mar , 2013 Apr , 2013 May , 2013 Jun , 2013 Jul , 2013 Aug , 2013 Sep , 2013 Oct , 2013 Nov , 2013 Dec , 2014 Jan , 2014 Feb , 2014 Mar , 2014 Apr , 2014 May , 2014 Jun , 2014 Jul , 2014 Aug , 2014 Sep , 2014 Oct , 2014 Nov , 2014 Dec , 2015 Jan , 2015 Feb , 2015 Mar , 2015 Apr , 2015 May , 2015 Jun , 2015 Jul , 2015 Aug , 2015 Sep , 2015 Oct , 2015 Nov , 2015 Dec , 2016 Jan , 2016 Feb , 2016 Mar , 2016 Apr , 2016 May , 2016 Jun , 2016 Jul , 2016 Aug , 2016 Sep , 2016 Oct , 2016 Nov , 2016 Dec , 2017 Jan , 2017 Feb , 2017 Mar , 2017 Apr , 2017 May , 2017 Jun , 2017 Jul , 2017 Aug , 2017 Sep , 2017 Oct , 2017 Nov , 2017 Dec , 2018 Jan , 2018 Feb , 2018 Mar , 2018 Apr , 2018 May , 2018 Jun , 2018 Jul , 2018 Aug , 2018 Sep , 2018 Oct , 2018 Nov , 2018 Dec , 2019 Jan , 2019 Feb , 2019 Mar , 2019 Apr , 2019 May , 2019 Jun , 2019 Jul , 2019 Aug , 2019 Sep , 2019 Oct , 2019 Nov , 2019 Dec , 2020 Jan , 2020 Feb , 2020 Mar 
 Total Merchandise Exports (Thousand Dollars) ,"1,242,543","1,156,733","1,261,592","1,302,876","1,245,481","1,292,978","1,505,808","1,291,818","1,432,917","1,479,737","1,508,412","1,544,967","1,585,691","1,322,808","1,723,749","1,675,618","1,588,420","1,675,542","1,768,697","1,791,175","1,730,959","1,684,055","1,817,398","1,726,198","1,760,728","1,430,064","2,004,845","1,929,828","1,761,878","1,880,926","1,875,875","2,046,411","2,026,507","1,995,092","2,158,880","2,114,417","2,095,359","1,969,117","2,363,937","2,293,413","2,533,619","2,383,410","2,744,672","2,890,462","2,669,904","2,767,576","3,052,365","3,176,254","3,369,215","3,126,000","3,444,920","3,365,594","3,506,037","3,470,084","3,705,497","3,326,672","3,467,725","3,748,290","3,419,322","3,502,958","3,868,119","3,165,449","3,738,954","3,696,834","3,703,412","3,609,284","3,901,835","3,689,837","3,775,500","3,826,484","3,565,264","3,749,817","3,301,310","3,520,827","3,952,424","4,096,249","3,900,358","3,740,146","3,941,166","3,463,197","3,512,393","3,904,021","3,428,724","3,711,973","3,479,886","3,261,901","3,853,320","4,023,232","3,690,551","4,079,805","3,622,241","4,139,927","4,070,734","3,996,464","3,761,799","4,175,031","4,625,925","3,718,666","4,274,929","3,864,347","4,687,092","4,130,340","4,691,737","4,317,381","4,133,037","4,484,980","4,416,916","3,994,671","4,719,777","4,237,539","4,084,492","4,694,408","4,058,852","4,181,432","3,843,946","4,306,642","3,920,246","4,240,507","4,189,247","3,701,760","3,720,863","4,020,547","3,641,581","4,375,574","3,772,098","4,150,132","3,990,786","4,216,640","4,099,391","4,160,951","4,254,654","4,582,282","4,205,018","3,983,800","4,185,709","5,084,631","4,639,482","4,890,618","5,158,567","5,050,975","5,882,200","5,472,747","5,811,270","5,900,718","5,681,340","5,899,650","5,495,095","6,245,803","6,335,007","6,817,987","6,882,356","6,565,749","7,082,711","7,623,999","6,814,662","7,606,901","6,001,724","5,762,413","7,422,577","7,259,816","7,016,390","7,335,741","6,975,522","7,818,370","7,771,485","7,581,214","8,072,301","8,098,894","7,235,714","6,573,310","8,573,594","7,009,944","7,750,740","7,615,410","7,628,568","7,999,123","7,978,423","9,265,922","8,733,492","8,841,587","9,241,136","7,201,714","8,855,071","8,352,230","8,309,277","8,894,216","9,102,128","8,491,990","8,469,943","8,813,517","8,255,293","7,892,995","8,190,350","6,954,198","8,746,372","7,852,989","8,047,092","8,746,449","9,089,735","8,370,183","9,105,708","9,008,731","9,101,823","10,137,415.00","8,023,323","8,504,712","10,457,906.00","10,291,679.00","9,656,549","9,972,816","10,423,206.00","9,712,732","11,307,053.00","9,942,710","10,437,879.00","10,742,880.00","10,329,591.00","8,521,399","11,439,361.00","12,259,655.00","12,321,943.00","13,220,737.00","12,461,425.00","13,324,595.00","13,659,397.00","13,204,683.00","13,289,481.00","13,294,931.00","12,311,698.00","11,560,926.00","14,104,206.00","12,650,418.00","13,777,819.00","14,373,998.00","14,092,604.00","14,921,935.00","14,877,990.00","14,980,902.00","15,503,060.00","14,359,141.00","15,304,338.00","12,362,258.00","15,658,331.00","14,613,388.00","14,816,175.00","13,977,050.00","15,040,339.00","14,252,549.00","14,663,818.00","15,689,795.00","14,812,547.00","15,081,351.00","15,062,352.00","11,582,485.00","15,475,125.00","15,521,270.00","15,389,820.00","15,075,534.00","15,912,565.00","14,933,191.00","16,936,893.00","16,899,732.00","16,041,994.00","16,781,544.00","14,494,973.00","14,763,661.00","16,952,639.00","15,156,585.00","14,305,934.00","15,919,596.00","15,633,170.00","15,290,254.00","16,344,414.00","15,348,390.00","14,509,326.00","15,044,377.00","13,315,576.00","12,496,922.00","16,250,359.00","15,909,114.00","15,465,904.00","16,366,907.00","16,153,014.00","15,957,530.00","17,625,416.00","17,783,665.00","17,957,284.00","19,007,924.00","15,628,098.00","16,200,493.00","19,842,497.00","17,461,126.00","19,738,164.00","19,458,200.00","20,321,223.00","21,962,554.00","21,590,916.00","22,863,664.00","21,961,829.00","20,797,582.00","18,626,667.00","18,092,493.00","20,431,794.00","18,056,811.00","18,700,517.00","18,461,988.00","17,462,519.00","17,673,383.00","16,797,935.00","18,935,541.00","18,057,067.00","16,729,548.00","17,908,294.00","14,710,314.00","18,447,696.00","19,538,466.00","18,757,283.00","18,600,298.00","19,960,987.00","19,562,983.00","18,857,072.00","20,410,619.00","20,429,746.00","18,663,757.00","23,447,601.00","19,831,071.00","23,418,350.00","22,747,877.00","22,026,559.00","22,304,369.00","23,527,960.00","22,765,100.00","25,186,305.00","25,982,255.00","23,724,843.00","26,185,024.00","23,603,218.00","24,128,127.00","27,854,957.00","26,802,507.00","27,292,036.00","28,647,333.00","29,140,380.00","29,176,182.00","31,152,615.00","30,325,197.00","28,384,129.00","30,269,392.00","27,543,861.00","25,507,262.00","31,463,425.00","29,900,198.00","30,570,564.00","31,155,372.00","31,706,705.00","34,304,221.00","34,073,829.00","35,802,282.00","34,576,557.00","37,079,003.00","32,617,981.00","33,003,078.00","37,718,897.00","33,659,297.00","35,996,421.00","37,974,531.00","36,213,556.00","38,055,717.00","38,632,796.00","37,008,885.00","37,337,369.00","35,837,917.00","37,598,082.00","30,938,211.00","38,614,025.00","36,442,327.00","36,405,981.00","38,400,858.00","39,517,632.00","39,110,149.00","39,118,022.00","41,079,240.00","39,009,550.00","37,852,753.00","42,682,417.00","36,428,265.00","40,431,403.00","42,515,891.00","40,940,336.00","42,500,904.00","45,379,085.00","42,473,576.00","43,655,958.00","39,502,257.00","34,292,711.00","30,052,576.00","26,463,376.00","27,677,912.00","31,798,409.00","31,378,096.00","30,119,931.00","32,152,964.00","35,293,204.00","34,146,163.00","35,213,854.00","35,846,049.00","35,692,666.00","37,143,715.00","36,391,172.00","32,951,382.00","41,005,505.00","40,644,667.00","38,693,721.00","41,020,375.00","41,170,201.00","42,941,604.00","41,615,386.00","42,651,466.00","39,772,855.00","41,851,138.00","43,766,735.00","36,963,226.00","46,700,562.00","42,763,382.00","42,640,217.00","43,871,813.00","42,644,188.00","45,126,888.00","45,395,626.00","44,554,630.00","43,199,909.00","45,643,446.00","41,834,582.00","45,664,111.00","46,121,631.00","44,829,816.00","44,546,230.00","43,409,919.00","42,514,918.00","41,848,307.00","41,848,907.00","44,485,232.00","42,485,012.00","39,765,478.00","41,978,071.00","37,560,458.00","42,285,166.00","45,691,253.00","45,728,321.00","43,436,371.00","46,363,855.00","43,843,516.00","45,161,084.00","47,916,281.00","43,029,311.00","42,513,470.00","44,966,281.00","41,135,162.00","45,280,758.00","46,201,066.00","43,741,676.00","43,604,893.00","43,601,754.00","43,395,650.00","45,258,026.00","45,076,081.00","41,651,672.00","42,154,405.00","42,679,649.00","34,745,340.00","46,341,479.00","42,126,061.00","39,419,524.00","41,324,718.00","42,883,682.00","38,499,547.00","40,566,767.00","43,473,113.00","39,152,052.00","40,604,216.00","36,374,220.00","32,392,691.00","38,819,978.00","38,777,004.00","38,907,678.00","39,303,025.00","38,163,143.00","38,628,013.00","39,689,453.00","39,645,848.00","41,889,050.00","44,321,513.00","40,395,481.00","39,340,293.00","46,072,685.00","40,431,020.00","43,945,230.00","42,324,249.00","42,629,367.00","44,464,801.00","41,178,777.00","43,739,574.00","45,886,157.00","44,593,215.00","44,126,494.00","38,936,317.00","45,602,187.00","44,492,111.00","48,359,712.00","45,693,748.00","48,306,776.00","50,448,644.00","45,850,324.00","51,656,381.00","48,699,986.00","43,492,397.00","44,530,898.00","39,862,596.00","44,232,102.00","44,138,798.00","46,631,547.00","41,424,050.00","45,390,949.00","45,157,925.00","43,494,319.00","46,828,474.00","45,758,743.00","45,063,716.00","42,141,764.00","40,826,997.00","43,953,513.00"
     America (Million Dollars) , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"2,842.70","2,640.10","3,291.30","3,401.60","3,411.50","3,575.90","3,891.20","3,573.70","3,675.10","3,633.40","3,586.60","3,907.80","3,047.70","3,278.80","3,714.60","3,278.80","3,525.50","3,707.20","3,961.80","4,444.10","4,381.90","4,548.60","4,593","4,258.60","3,548.10","3,485.20","3,817.60","3,237.90","3,185.50","3,521.30","3,015.50","3,076.70","2,818.40","3,215.60","3,035.60","2,939.70","2,926.40","2,632.40","3,076.20","3,234.60","3,388.40","3,291.40","3,559","3,777.90","3,261.10","3,340","4,006.90","2,880.20","3,599","3,046.30","3,329.30","3,374.50","3,412.30","3,594.90","3,327.50","3,263.40","3,461.10","3,734.50","3,296.20","3,610","3,224","3,009.70","3,920","3,635.70","3,973.10","3,980.80","4,263.10","4,252.80","4,160.10","3,928.50","3,692.30","3,772.30","3,529.30","3,506.30","3,858.70","3,703.30","3,723.80","3,912.10","4,055.60","4,207.10","4,167.90","4,469.60","4,571.70","4,674.70","3,975.30","4,224.20","5,056.80","4,553","4,373","4,994.50","4,865.40","4,753.40","4,868","4,911.80","4,284.10","3,961.30","4,618.10","4,033.80","4,903.50","4,523.40","4,395.60","4,719.30","4,717.30","4,741.90","4,564.90","4,783.90","4,528.30","4,210.40","4,950.70","4,249","5,187.70","4,595.70","4,147.70","4,465.70","4,433.90","4,634.80","4,917.80","4,312","4,757.60","3,376.80","2,934","3,093.80","3,393.70","3,786.10","3,127.40","4,004.60","3,858.60","3,915.30","3,930.70","3,898.10","4,230.70","3,737.60","3,652.50","3,479.30","3,753.20","5,016.60","3,745","4,154.70","3,987.50","4,648","4,925.10","4,962.20","3,796.10","3,823.70","4,181.60","3,783.50","5,650","4,848.60","4,177","4,667.40","4,511.90","4,410.20","4,228.90","4,345.10","3,960.80","4,685.30","4,773.60","4,955.80","4,354.70","4,379.30","4,243","4,094","4,125.50","4,640.90","4,036.20","4,724.60","3,960.10","3,325.50","4,070.20","3,486.30","4,415.90","4,534.70","5,750.50","4,615.70","4,433.90","4,593.20","4,649.10","4,468.10","4,317.50","3,895.10","4,026","3,943.20","3,942.20","4,576.60","3,827.40","4,288.70","4,230.20","4,341.40","4,261.30","4,161.60","3,756.20","3,844.30","3,750","3,192.20","4,424.20","4,216.40","3,803.60","4,045.80","4,047.90","4,028.40","4,036.70","4,289.20","3,394.50","3,352.70","3,244.80","3,102.40","3,629.70","3,761.40","3,748.80","4,110.80","3,963.30","3,807","3,754.20","3,524.20","3,704.80","3,588.80","3,754.40","3,371.50","4,562.60","4,069.70","4,483.30","3,965.20","3,792.40","4,136.40","3,721.90","4,004.70","3,793.30","3,775.80","4,321.30","4,054.10","4,909.70","4,917.30","5,307.90","4,815","5,238.40","5,264.70","5,048.30","5,238.20","4,848.50","4,449.30","5,055.80","4,841.70","5,281.20","5,023.60","5,809.40","4,990.10","5,209.40","4,837.70","4,754.50","4,938.30","4,822.30","4,613.70","4,893.60","5,214.40","5,511.10"
     Asia (Million Dollars) , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"7,541.40","7,022.70","9,461.10","9,194.70","8,875","9,466.70","9,156.80","9,090.90","10,038.30","10,161.40","10,532.70","11,555.90","9,549.30","9,805.20","12,342.80","10,953.90","12,207.50","12,293.70","12,805.80","13,394.90","13,232.60","13,665.90","13,092.50","12,474.10","11,472.30","11,230.80","12,762.10","11,321.90","11,534.70","11,517","11,311.10","11,264.40","10,628.60","11,861.20","11,291.60","10,372.50","11,608.70","9,184.70","11,750.60","12,861.90","12,236.60","11,757.60","12,801.30","12,246.20","11,990.90","12,976.80","12,555.20","12,197.20","15,581.20","13,135.30","15,814","15,359.10","14,753.10","14,721.20","16,112.90","15,322","16,774.50","17,351.60","15,798.40","17,880.70","15,522.80","16,137.60","18,700.70","18,142.50","18,074.50","18,839.80","19,636.40","19,441.40","21,168.80","20,469.20","18,884.80","20,838.80","18,870.10","16,835.40","21,783.60","20,478.10","21,232.40","21,442.10","22,169.80","23,840.60","23,794.40","24,509.80","23,388.30","24,060.30","21,676.90","22,232.90","25,653.30","22,589.90","24,757.20","26,324.10","25,528.40","27,036.60","27,288.70","25,492.60","25,479.70","25,160.30","26,121.90","21,043.90","26,528","25,878.10","25,539.80","27,100.60","27,576.10","27,622.20","27,121","28,613.60","27,458.30","27,180.90","30,016","24,915.80","27,924.70","30,312.90","29,695.80","30,202.80","32,405.30","29,623.80","30,270.90","27,616.40","23,198.90","21,512.80","17,634.70","19,221.40","22,793","22,721.50","22,103.20","22,944.60","25,364.50","24,627","25,052.10","25,550.90","25,000.60","27,281.80","27,357.20","23,522.50","30,343.90","28,762.30","28,062.40","29,407.70","30,078.50","30,342.80","29,293.20","29,180.50","28,633","30,755.30","32,069.30","25,786.50","33,118.70","30,124.30","30,678.80","31,749.30","30,371.50","31,932","33,099.50","32,505.50","31,471.20","32,826.30","29,926.30","31,208.50","33,526.50","33,057.50","32,672.20","31,220.70","31,030.70","29,946.20","30,038.60","31,151","30,918.50","29,441.20","31,276.30","28,173.20","30,710.20","33,910","32,580.40","31,395.50","35,068.60","32,450","32,951.70","35,719.30","31,735.90","32,285.30","33,618.70","29,920.30","33,747.60","34,479.50","32,339.80","31,990.80","31,726.40","31,933.30","33,865.60","33,783.50","31,710.40","31,853.10","32,446.30","26,321.80","34,627.80","31,611.50","29,570.20","30,823.20","32,368.10","28,566.70","30,146.30","32,986.80","30,026.40","31,331.80","27,229.30","24,434.10","29,150.20","29,165.90","27,807.50","29,126.50","27,689.80","29,162","29,574.60","30,474.40","31,838","34,352.40","30,504.50","29,332.70","34,878.20","30,643.30","33,198.70","31,910.80","32,939.80","33,893.30","30,973","33,213.50","35,045.50","33,913.10","32,613.20","28,186.10","33,727.80","31,955.30","34,376.30","33,376.80","35,889.60","37,323.40","33,281.80","37,466","35,349.10","32,236.40","32,195.70","28,614.50","31,577.50","32,069.70","32,511.70","29,551.60","32,193.30","33,370.50","32,055.90","33,529.60","34,252.70","34,177","31,137.40","29,081.60","32,187.20"
